transaction_id,date,description,amount,category,is_duplicate,is_anomaly
TXN100000,2024-01-01,TRADER JOE S #543,-19.51,Food,False,False
TXN100001,2024-01-01,PF #0233 MONTHLY,-25.25,Healthcare,False,False
TXN100002,2024-01-02,MAIN ST DINER,-23.19,Food,False,False
TXN100003,2024-01-02,RENT - PROPERTY MGMT CO,-1867.23,Bills,False,False
TXN100004,2024-01-03,Best Buy,-508.46,Shopping,False,False
TXN100005,2024-01-03,PLANET FITNESS,-10.63,Healthcare,False,False
TXN100006,2024-01-04,NETFLIX.COM,-15.39,Entertainment,False,False
TXN100007,2024-01-05,ACME CORP DIRECT DEPOSIT,3219.87,Salary,False,False
TXN100008,2024-01-05,CHIPOTLE 2341,-20.58,Food,False,False
TXN100009,2024-01-05,FIDELITY BROKERAGE,-325.44,Investment,False,False
TXN100010,2024-01-06,SPOTIFY USA,-14.99,Entertainment,False,False
TXN100011,2024-01-06,VENMO*TRANSFER,-146.21,Miscellaneous,False,False
TXN100012,2024-01-07,CITY MEDICAL GRP,-232.93,Healthcare,False,False
TXN100013,2024-01-08,SPOTIFY USA,-11.06,Entertainment,False,False
TXN100014,2024-01-09,WHOLE FOODS MARKET,-137.03,Food,False,False
TXN100015,2024-01-10,Whole Foods,-18.1,Food,False,False
TXN100016,2024-01-10,THE CORNER DINER LLC,-29.34,Food,False,False
TXN100017,2024-01-10,"DoorDash, Inc.",-49.15,Food,False,False
TXN100018,2024-01-11,WFM 102 AUSTIN TX,-34.9,Food,False,False
TXN100019,2024-01-11,CASH WITHDRAWAL ATM,-176.99,Miscellaneous,False,False
TXN100020,2024-01-11,COMCAST XFINITY,-89.23,Utilities,False,False
TXN100021,2024-01-12,NIKE.COM,-67.92,Shopping,False,False
TXN100022,2024-01-12,DD *DOORDASH,-25.12,Food,False,False
TXN100023,2024-01-13,WIRE TRANSFER INTL CVQMCFGB2,-4903.64,Miscellaneous,False,True
TXN100024,2024-01-16,VERIZON WRLS,-74.77,Utilities,False,False
TXN100025,2024-01-17,Target.com,-67.15,Shopping,False,False
TXN100026,2024-01-17,AMAZON MKTPLACE PMTS,-82.44,Shopping,False,False
TXN100027,2024-01-17,TRADER JOES,-67.76,Food,False,False
TXN100028,2024-01-18,ENTERPRISE RAC,-379.34,Travel,False,False
TXN100029,2024-01-19,STATE FARM INS,-142.47,Bills,False,False
TXN100030,2024-01-19,AMAZON MKTPLACE PMTS,-45.86,Shopping,False,False
TXN100031,2024-01-19,ACME CORP DIRECT DEPOSIT,3194.47,Salary,False,False
TXN100032,2024-01-20,DD *DOORDASH,-43.33,Food,False,False
TXN100033,2024-01-20,AMC 00234 ONLINE,-16.66,Entertainment,False,False
TXN100034,2024-01-22,MARRIOTT 445621,-441.29,Travel,False,False
TXN100035,2024-01-23,Target.com,-19.46,Shopping,False,False
TXN100036,2024-01-23,NETFLIX 1888-638-3549,-22.24,Entertainment,False,False
TXN100037,2024-01-24,CASH WITHDRAWAL ATM,-97.63,Miscellaneous,False,False
TXN100038,2024-01-24,VENMO PAYMENT,-80.39,Miscellaneous,False,False
TXN100039,2024-01-30,Best Buy,-299.68,Shopping,False,False
TXN100040,2024-01-31,CVS.COM,-81.8,Healthcare,False,False
TXN100041,2024-02-01,AMC.COM,-29.56,Entertainment,False,False
TXN100042,2024-02-02,"DoorDash, Inc.",-24.71,Food,False,False
TXN100043,2024-02-02,CVS/PHARMACY #6532,-42.48,Healthcare,False,False
TXN100044,2024-02-02,PLANET FITNESS,-19.23,Healthcare,False,False
TXN100045,2024-02-02,VENMO*TRANSFER,-84.45,Miscellaneous,False,False
TXN100046,2024-02-02,PF #0233 MONTHLY,-24.94,Healthcare,False,False
TXN100047,2024-02-02,RENT - PROPERTY MGMT CO,-1829.53,Bills,False,False
TXN100048,2024-02-02,ACME CORP PAYROLL DIRECT DEP,3225.91,Salary,False,False
TXN100049,2024-02-03,CVS PHARM,-31.53,Healthcare,False,False
TXN100050,2024-02-04,Nike Inc,-145.27,Shopping,False,False
TXN100051,2024-02-04,PF #0233 MONTHLY,-16.63,Healthcare,False,False
TXN100052,2024-02-04,NETFLIX.COM,-15.64,Entertainment,False,False
TXN100053,2024-02-05,FIDELITY INV,-401.14,Investment,False,False
TXN100054,2024-02-05,CASH WITHDRAWAL ATM,-162.87,Miscellaneous,False,False
TXN100055,2024-02-06,ATM WITHDRAWAL #4521,-71.08,Miscellaneous,False,False
TXN100056,2024-02-06,PAYPAL *ETSY,-17.47,Shopping,False,False
TXN100057,2024-02-07,SPOTIFY USA,-10.94,Entertainment,False,False
TXN100058,2024-02-08,WFM 102 AUSTIN TX,-43.08,Food,False,False
TXN100059,2024-02-09,CITY MEDICAL GRP,-185.22,Healthcare,False,False
TXN100060,2024-02-09,NETFLIX 1888-638-3549,-18.6,Entertainment,False,False
TXN100061,2024-02-09,WHOLE FOODS MARKET,-18.05,Food,False,False
TXN100062,2024-02-09,Target.com,-114.69,Shopping,False,False
TXN100063,2024-02-10,WHOLEFDS MKT #102,-126.58,Food,False,False
TXN100064,2024-02-10,NIKE STORE #221,-105.93,Shopping,False,False
TXN100065,2024-02-11,CASH WITHDRAWAL ATM,-59.39,Miscellaneous,False,False
TXN100066,2024-02-12,Main Street Diner,-21.08,Food,False,False
TXN100067,2024-02-13,COMCAST XFINITY,-88.91,Utilities,False,False
TXN100068,2024-02-13,TRADER JOE S #543,-87.98,Food,False,False
TXN100069,2024-02-13,NETFLIX 1888-638-3549,-16.49,Entertainment,False,False
TXN100070,2024-02-14,VERIZON WRLS,-75.61,Utilities,False,False
TXN100071,2024-02-15,"DoorDash, Inc.",-34.84,Food,False,False
TXN100072,2024-02-15,VENMO*TRANSFER,-93.83,Miscellaneous,False,False
TXN100073,2024-02-16,ACME CORP DIRECT DEPOSIT,3260.92,Salary,False,False
TXN100074,2024-02-16,CITY MED GROUP CO-PAY,-211.03,Healthcare,False,False
TXN100075,2024-02-17,TRADER JOES,-86.26,Food,False,False
TXN100076,2024-02-17,CITY MED GROUP CO-PAY,-123.52,Healthcare,False,False
TXN100077,2024-02-17,Uber Trip Help.uber.com,-22.42,Travel,False,False
TXN100078,2024-02-18,CHIPOTLE MEXICAN GRILL,-9.08,Food,False,False
TXN100079,2024-02-18,PAYPAL *ETSY,-60.14,Shopping,False,False
TXN100080,2024-02-19,CHIPOTLE 2341,-11.8,Food,False,False
TXN100081,2024-02-19,STATE FARM INS,-143.93,Bills,False,False
TXN100082,2024-02-21,ATM WITHDRAWAL #4521,-31.56,Miscellaneous,False,False
TXN100083,2024-02-21,WHOLE FOODS MARKET,-62.88,Food,False,False
TXN100084,2024-02-21,Best Buy,-95.51,Shopping,False,False
TXN100085,2024-02-23,VENMO*TRANSFER,-83.68,Miscellaneous,False,False
TXN100086,2024-02-25,Etsy Inc,-11.56,Shopping,False,False
TXN100087,2024-02-25,VENMO*TRANSFER,-136.2,Miscellaneous,False,False
TXN100088,2024-02-25,AIRBNB HMXY23,-216.17,Travel,False,False
TXN100089,2024-02-26,MARRIOTT 445621,-519.34,Travel,False,False
TXN100090,2024-02-26,VALVE CORP *STEAM,-5.38,Entertainment,False,False
TXN100091,2024-02-27,"DoorDash, Inc.",-44.14,Food,False,False
TXN100092,2024-02-28,NIKE.COM,-103.88,Shopping,False,False
TXN100093,2024-02-28,DOORDASH*RESTAURANT,-23.74,Food,False,False
TXN100094,2024-02-28,Trader Joe's,-86.31,Food,False,False
TXN100095,2024-02-29,Main Street Diner,-29.75,Food,False,False
TXN100096,2024-03-01,SPOTIFY USA,-16.43,Entertainment,False,False
TXN100097,2024-03-01,Trader Joe's,-66.35,Food,False,False
TXN100098,2024-03-01,CITY MEDICAL GRP,-213.32,Healthcare,False,False
TXN100099,2024-03-01,ACME CORP DIRECT DEPOSIT,3190.63,Salary,False,False
TXN100100,2024-03-01,CASH WITHDRAWAL ATM,-44.43,Miscellaneous,False,False
TXN100101,2024-03-02,VENMO*TRANSFER,-35.69,Miscellaneous,False,False
TXN100102,2024-03-02,PF #0233 MONTHLY,-25.08,Healthcare,False,False
TXN100103,2024-03-02,RENT - PROPERTY MGMT CO,-1838.07,Bills,False,False
TXN100104,2024-03-02,DD *DOORDASH,-44.34,Food,False,False
TXN100105,2024-03-02,VENMO PAYMENT,-12.29,Miscellaneous,False,False
TXN100106,2024-03-02,CHIPOTLE MEXICAN GRILL,-18.66,Food,False,False
TXN100107,2024-03-03,CASH WITHDRAWAL ATM,-60.36,Miscellaneous,False,False
TXN100108,2024-03-03,NIKE.COM,-172.31,Shopping,False,False
TXN100109,2024-03-03,NETFLIX.COM,-15.48,Entertainment,False,False
TXN100110,2024-03-03,AIRBNB * HMXY23,-599.3,Travel,False,False
TXN100111,2024-03-04,WHOLE FOODS MARKET,-119.9,Food,False,False
TXN100112,2024-03-04,STARBUCKS #04521,-9.91,Food,False,False
TXN100113,2024-03-04,ATM WITHDRAWAL #4521,-42.72,Miscellaneous,False,False
TXN100114,2024-03-05,Trader Joe's,-87.18,Food,False,False
TXN100115,2024-03-05,FIDELITY INV,-584.31,Investment,False,False
TXN100116,2024-03-05,VALVE CORP *STEAM,-66.2,Entertainment,False,False
TXN100117,2024-03-05,AMZN Mktp US,-106.59,Shopping,False,False
TXN100118,2024-03-05,SPOTIFY USA,-14.54,Entertainment,False,False
TXN100119,2024-03-05,ATM WITHDRAWAL #4521,-193.65,Miscellaneous,False,False
TXN100120,2024-03-05,NETFLIX.COM,-22.46,Entertainment,False,False
TXN100121,2024-03-05,CHIPOTLE MEXICAN GRILL,-10.35,Food,False,False
TXN100122,2024-03-06,SPOTIFY USA,-15.17,Entertainment,False,False
TXN100123,2024-03-06,SPOTIFY USA,-11.1,Entertainment,False,False
TXN100124,2024-03-07,VENMO PAYMENT,-120.45,Miscellaneous,False,False
TXN100125,2024-03-07,ENTERPRISE RENT-A-CAR,-178.05,Travel,False,False
TXN100126,2024-03-08,"DoorDash, Inc.",-27.93,Food,False,False
TXN100127,2024-03-08,Trader Joe's,-39.0,Food,False,False
TXN100128,2024-03-09,DD *DOORDASH,-16.54,Food,False,False
TXN100129,2024-03-09,Chipotle Online,-20.48,Food,False,False
TXN100130,2024-03-09,Nike Inc,-59.07,Shopping,False,False
TXN100131,2024-03-10,TARGET T-1453,-99.65,Shopping,False,False
TXN100132,2024-03-11,PAYPAL *ETSY,-47.19,Shopping,False,False
TXN100133,2024-03-11,CITY MED GROUP CO-PAY,-161.66,Healthcare,False,False
TXN100134,2024-03-11,COMCAST XFINITY,-90.32,Utilities,False,False
TXN100135,2024-03-12,AMAZON MKTPLACE PMTS,-194.91,Shopping,False,False
TXN100136,2024-03-12,Whole Foods,-86.23,Food,False,False
TXN100137,2024-03-12,VENMO*TRANSFER,-128.5,Miscellaneous,False,False
TXN100138,2024-03-13,NIKE STORE #221,-35.45,Shopping,False,False
TXN100139,2024-03-13,AMC 00234 ONLINE,-32.96,Entertainment,False,False
TXN100140,2024-03-15,ACME CORP PAYROLL DIRECT DEP,3190.63,Salary,False,False
TXN100141,2024-03-16,VERIZON WRLS,-76.15,Utilities,False,False
TXN100142,2024-03-20,STATE FARM INS,-141.95,Bills,False,False
TXN100143,2024-03-20,BESTBUY.COM,-322.8,Shopping,False,False
TXN100144,2024-03-21,TRADER JOE S #543,-53.91,Food,False,False
TXN100145,2024-03-21,WHOLEFDS MKT #102,-45.17,Food,False,False
TXN100146,2024-03-21,Trader Joe's,-84.81,Food,False,False
TXN100147,2024-03-22,DD *DOORDASH,-35.87,Food,False,False
TXN100148,2024-03-24,TARGET T-1453,-91.98,Shopping,False,False
TXN100149,2024-03-25,NETFLIX.COM,-17.7,Entertainment,False,False
